Date,close price
25-07-2016,16.52
26-07-2016,16.52
27-07-2016,16.6
28-07-2016,16.6
31-07-2016,16.75
01-08-2016,16.97
02-08-2016,16.99
03-08-2016,16.99
04-08-2016,16.86
07-08-2016,16.86
08-08-2016,16.86
09-08-2016,16.55
10-08-2016,15.8
11-08-2016,16.63
14-08-2016,16.63
15-08-2016,16.63
16-08-2016,16.63
17-08-2016,16.63
18-08-2016,16.63
21-08-2016,16
22-08-2016,16.4
23-08-2016,16.4
24-08-2016,16.4
25-08-2016,15.71
28-08-2016,15.71
29-08-2016,16
30-08-2016,16
31-08-2016,16
01-09-2016,16
04-09-2016,15.7
05-09-2016,15.7
06-09-2016,15.85
07-09-2016,16.24
08-09-2016,16.25
18-09-2016,16.25
19-09-2016,16.25
21-09-2016,16.25
22-09-2016,16.25
25-09-2016,16
26-09-2016,16
27-09-2016,16
28-09-2016,16
29-09-2016,15.6
03-10-2016,15.51
04-10-2016,16.2
05-10-2016,16.2
06-10-2016,15.65
09-10-2016,15.65
10-10-2016,16
11-10-2016,16.1
12-10-2016,16.1
13-10-2016,16.1
16-10-2016,16.2
17-10-2016,16
18-10-2016,15.66
19-10-2016,15.66
20-10-2016,16
23-10-2016,16
24-10-2016,16
25-10-2016,16
26-10-2016,16
27-10-2016,16
30-10-2016,15.9
31-10-2016,15.52
01-11-2016,15.51
02-11-2016,15.51
03-11-2016,16.01
06-11-2016,16.01
07-11-2016,16.79
08-11-2016,16.08
09-11-2016,16.13
10-11-2016,16.33
13-11-2016,15.85
14-11-2016,15.91
15-11-2016,15.92
16-11-2016,15.92
17-11-2016,15.92
20-11-2016,16
21-11-2016,16
22-11-2016,15.92
23-11-2016,15.94
24-11-2016,15.94
27-11-2016,17
28-11-2016,17.7
29-11-2016,17.7
30-11-2016,17.5
1-12-2016,17.92
4-12-2016,17.92
5-12-2016,17.9
6-12-2016,17.9
7-12-2016,17.75
8-12-2016,17.75
11-12-2016,16.8
13-12-2016,16.8
14-12-2016,17
15-12-2016,17.5
18-12-2016,17.5
19-12-2016,18
20-12-2016,18.7
21-12-2016,19.25
22-12-2016,19.25
26-12-2016,19.23
27-12-2016,19
28-12-2016,18.99
29-12-2016,19.18
2-1-2017,19
3-1-2017,19
4-1-2017,19
5-1-2017,19.1
8-1-2017,19.05
9-1-2017,19.05
10-01-2017,19.05
11-01-2017,18.25
12-01-2017,18.99
15-01-2017,18.7
16-01-2017,18.7
17-01-2017,17.3
18-01-2017,17.6
19-01-2017,17.25
22-01-2017,17.95
23-01-2017,17.5
24-01-2017,17.5
25-01-2017,17.5
26-01-2017,17.5
29-01-2017,17.5
30-01-2017,17.5
31-01-2017,17.5
01-02-2017,17.5
02-02-2017,17.5
05-02-2017,17.5
06-02-2017,17.5
07-02-2017,17.5
08-02-2017,17.5
09-02-2017,17.02
12-02-2017,17.05
13-02-2017,17.4
14-02-2017,17.4
15-02-2017,18.59
16-02-2017,18
19-02-2017,18
20-02-2017,18
21-02-2017,18
22-02-2017,17.05
23-02-2017,17.1
26-02-2017,17.1
27-02-2017,17.1
28-02-2017,17.1
01-03-2017,17.5
02-03-2017,17.5
05-03-2017,17.35
06-03-2017,17.35
07-03-2017,17.35
08-03-2017,17.28
09-03-2017,17.35
12-03-2017,17.3
13-03-2017,17.35
14-03-2017,17.4
15-03-2017,17.4
16-03-2017,18.7
19-03-2017,18
20-03-2017,17.95
21-03-2017,17.95
22-03-2017,17.88
23-03-2017,17.9
26-03-2017,17.9
27-03-2017,17.9
28-03-2017,17.9
29-03-2017,17.76
30-03-2017,17.76
02-04-2017,18.05
03-04-2017,18.14
04-04-2017,18.4
05-04-2017,19.13
06-04-2017,19.9
09-04-2017,20.17
10-04-2017,20
11-04-2017,20
12-04-2017,19.25
13-04-2017,19.65
16-04-2017,19.08
17-04-2017,18.36
18-04-2017,18.64
19-04-2017,17.93
20-04-2017,17.93
23-04-2017,16.72
24-04-2017,17.24
25-04-2017,17.36
26-04-2017,18
27-04-2017,19
01-05-2017,18.85
02-05-2017,18.2
03-05-2017,18.3
04-05-2017,18.3
07-05-2017,18.89
08-05-2017,18.98
09-05-2017,19.15
10-05-2017,19.05
11-05-2017,19.05
14-05-2017,18.99
15-05-2017,18.93
16-05-2017,18.99
16-05-2017,18.99
18-05-2017,18.99
21-05-2017,18.99
22-05-2017,18.99
23-05-2017,18.98
24-05-2017,18.89
28-05-2017,18.89
29-05-2017,18.89
30-05-2017,19
31-05-2017,18.9
01-06-2017,18.89
04-06-2017,18.87
05-06-2017,18.87
06-06-2017,18.87
07-06-2017,18.87
08-06-2017,18.8
11-06-2017,18.8
12-06-2017,18.8
13-06-2017,18.8
14-06-2017,18.8
15-06-2017,18.8
18-06-2017,18.8
19-06-2017,18.6
20-06-2017,18.6
21-06-2017,18.33
22-06-2017,18.3
29-06-2017,18.6
02-07-2017,18.6
03-07-2017,18.5
04-07-2017,18.59
05-07-2017,18.49
06-07-2017,18.6
09-07-2017,18.6
10-07-2017,18.6
11-07-2017,18.74
12-07-2017,18.74
13-07-2017,18.85
16-07-2017,18.9
17-07-2017,18.9
18-07-2017,18.8
